Date,P,D,E,CPI,Fraction,Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_Scaled_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Monthly_Total_Returns,Real_Total_Returns,Annualized_Stock_Real_Return_10Y,Annualized_Bonds_Real_Return_10Y,Real_Excess_Annualized_Returns_10Y
1874.04,4.6,0.33,0.46,12.18,1874.29,5.37,120.92,8.67,147.1,12.09,14.71,,,,1.01,1.22,10.39%,8.95%,1.44%
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,118.69,8.74,145.27,12.19,14.92,,,,1.01,1.23,9.89%,9.06%,0.84%
1874.06,4.46,0.33,0.46,11.8,1874.46,5.3,121.02,8.95,149.04,12.48,15.37,,,,1.01,1.27,9.22%,8.76%,0.46%
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,120.05,8.88,148.76,12.38,15.34,,,,1.01,1.27,9.43%,8.93%,0.50%
1874.08,4.47,0.33,0.46,11.8,1874.63,5.24,121.29,8.95,151.22,12.48,15.56,,,,1.01,1.29,9.98%,8.81%,1.17%
1874.09,4.54,0.33,0.46,11.8,1874.71,5.2,123.19,8.95,154.51,12.48,15.66,,,,1.01,1.3,9.57%,8.89%,0.68%
1874.1,4.53,0.33,0.46,11.61,1874.79,5.17,124.94,9.1,157.65,12.69,16.01,,,,1.01,1.33,9.17%,8.80%,0.37%
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,127.08,9.18,161.32,12.79,16.24,,,,1.01,1.35,9.01%,8.92%,0.09%
1874.12,4.54,0.33,0.46,11.51,1874.96,5.1,126.25,9.18,161.24,12.79,16.34,,,,1.01,1.36,9.18%,9.01%,0.17%
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,126.25,9.11,162.2,12.56,16.14,,,,1.01,1.37,8.92%,8.97%,-0.05%
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,125.97,9.04,162.82,12.33,15.93,,,,1.01,1.38,9.15%,8.81%,0.34%
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,127.64,8.97,165.94,12.1,15.73,,,,1.01,1.39,9.28%,9.03%,0.25%
